Country ID,Country Name,Region,World Rank,Region Rank,2023 Score,2023 Score Range,Change from 2022,Property Rights,Judical Effectiveness,Govt Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,2022 Score,2022 Score Range
14,Belgium,Europe,43,25,67.29,60-69.9,-2.30999999999999,92,91.4,81.3,50.2,8.1,31.5,79,57.8,80.3,78.6,85,70,69.6,60-69.9
15,Belize,Americas,85,18,59.51,50-59.9,2.91,34.1,71,41.7,80.7,76.6,60.4,59,60.7,75.6,52.2,55,50,56.6,50-59.9
16,Benin,Sub-Saharan Africa,84,7,59.90,50-59.9,-1.09999999999999,43.2,48.2,43.6,69.6,90.4,73.8,47,60,81.1,60.8,50,50,61,60-69.9
17,Bhutan,Asia-Pacific,90,19,59.06,50-59.9,-0.239999999999995,66.9,61.6,72.3,84,72.2,78.7,63,56.6,65.6,37.6,20,30,59.3,50-59.9
18,Bolivia,Americas,167,30,43.39,40-49.9,0.390000000000001,21.1,28.4,27.7,87.1,60.8,7,55.1,44.9,74,60,15,40,43,40-49.9
19,Bosnia and Herzegovina,Europe,63,35,62.89,60-69.9,-0.509999999999998,48.2,34.3,33.1,93.2,46.6,96.3,67,60.6,81.9,68,65,60,63.4,60-69.9
20,Botswana,Sub-Saharan Africa,52,3,64.90,60-69.9,0.0999999999999943,72.8,68.2,58.6,87.3,61.1,19.2,65.2,62.3,70.6,78.6,65,70,64.8,60-69.9
21,Brazil,Americas,127,26,53.48,50-59.9,0.18,49.7,55.3,39.1,70.9,55,2.7,63.6,57,73.7,65,60,50,53.3,50-59.9
22,Brunei Darussalam,Asia-Pacific,48,9,65.60,60-69.9,0.799999999999997,69.1,51.9,61.9,96.3,70,20,72.4,75.2,71.8,84.4,65,50,64.8,60-69.9
23,Bulgaria,Europe,32,19,69.42,60-69.9,-1.58,75.3,57.1,43.9,93.7,56.5,90.5,71.8,63.8,80.2,78.6,60,60,71,70-79.9
24,Burkina Faso,Sub-Saharan Africa,111,14,56.37,50-59.9,-1.93,38.2,36.9,42.7,81.5,80.6,52,41.1,61.8,73.5,61.2,65,40,58.3,50-59.9
25,Burma,Asia-Pacific,162,38,46.70,40-49.9,-2.9,21.5,9.5,29.3,88.5,86.4,38.8,42.1,45.6,76.4,69.4,30,20,49.6,40-49.9
26,Burundi,Sub-Saharan Africa,170,44,41.73,40-49.9,2.33,19.8,7.6,12.5,76,75.6,38.6,30.6,41.8,67.8,52.8,50,30,39.4,20-39.9
27,Cabo Verde,Sub-Saharan Africa,47,2,65.83,60-69.9,-0.870000000000005,65,76.7,60.8,83.2,71.7,22,67.5,51.9,82.3,68,80,60,66.7,60-69.9
28,Cambodia,Asia-Pacific,110,24,56.52,50-59.9,-0.579999999999998,40.8,22.3,14.5,87.9,78.7,90.1,54.4,47.9,74.3,66.8,50,50,57.1,50-59.9
29,Cameroon,Sub-Saharan Africa,139,32,52.00,50-59.9,-0.899999999999999,38.4,10.3,21.1,72.3,91.1,82.1,47.2,46.7,80.3,53.6,30,50,52.9,50-59.9
30,Canada,Americas,16,1,73.89,70-79.9,-2.70999999999999,88.5,95.1,83.1,75,35,32.2,87.9,69,74.8,83.4,80,80,76.6,70-79.9
31,Central African Republic,Sub-Saharan Africa,166,43,43.91,40-49.9,-1.79000000000001,6.9,4.6,16.9,65.4,87.3,84.2,26.5,39.8,73.5,45,45,30,45.7,40-49.9
32,Chad,Sub-Saharan Africa,138,31,51.83,50-59.9,2.03,28.2,14.5,12.6,78.1,91,93.7,28.4,53.4,76.8,47.3,60,40,49.8,40-49.9
33,Chile,Americas,22,2,71.38,70-79.9,-3.02000000000001,72.3,88.7,71.8,73,73.5,43.8,75.7,59.4,77.4,78,70,70,74.4,70-79.9
34,China,Asia-Pacific,154,34,48.27,40-49.9,0.270000000000003,45.3,38.2,42,69.5,65.1,9.8,68.3,55.2,72.5,73.6,20,20,48,40-49.9
35,Colombia,Americas,62,12,63.22,60-69.9,-1.88,44.9,58.7,41.4,69,66,38.5,72.2,61.7,78.6,75.8,80,70,65.1,60-69.9
36,Comoros,Sub-Saharan Africa,128,24,53.25,50-59.9,2.85,24.5,21.8,19.5,65.4,88.5,88.5,48.6,55.6,84.9,69.6,45,30,50.4,50-59.9
37,"Congo, Democratic Republic of the Congo",Sub-Saharan Africa,157,40,47.88,40-49.9,0.280000000000001,14.4,12.9,11.8,74.4,95.2,96,31.7,54.4,65.8,68.2,30,20,47.6,40-49.9
38,"Congo, Republic of",Sub-Saharan Africa,156,39,48.11,40-49.9,-0.390000000000001,30,14.5,13,75.5,84.7,80,32.4,43.6,81.8,56.4,35,30,48.5,40-49.9
39,Costa Rica,Americas,45,8,66.38,60-69.9,0.97999999999999,66,76.7,63.3,79.5,85.9,17.4,73.8,58.1,82.2,74.6,70,50,65.4,60-69.9
40,Côte d'Ivoire,Sub-Saharan Africa,81,5,60.47,60-69.9,-1.13,44.4,29.8,33.6,79,88.5,65.3,60.6,56.4,68.3,73.6,75,50,61.6,60-69.9
41,Croatia,Europe,46,26,66.46,60-69.9,-1.14,79.5,70,50.7,81.1,25.1,69.6,72.1,58.3,76.4,78.6,75,60,67.6,60-69.9
42,Cuba,Americas,175,32,24.71,20-39.9,-4.79,31.7,15.5,36.6,51.9,0,0,41.1,20,15.3,59.6,10,10,29.5,20-39.9
43,Cyprus,Europe,18,12,72.37,70-79.9,-0.530000000000001,83,89.7,58.8,80.8,45.8,73.3,74.9,66.5,81.5,78.6,75,60,72.9,70-79.9
44,Czech Republic,Europe,21,15,72.08,70-79.9,-2.32000000000001,88.5,81.9,60.3,79.3,39.5,73.5,76.9,56.1,78,78.6,70,80,74.4,70-79.9
45,Denmark,Europe,9,6,77.62,70-79.9,-0.379999999999995,97.5,88.5,100,42.1,20.9,97.3,89,64.8,82.4,78.6,90,80,78,70-79.9
